PC Time	Time Meas	Mod No.	Mod Status	Range Innov	Range Uncer	Rate Innov	Rate Uncer	Sat Num
0.0000	 82.587008	0	8	  0.0000000	       0.0000000	  0.0000000	       0.0000000	3
0.0000	 82.587008	1	0	  0.0000000	       0.0000000	  0.0000000	       0.0000000	6
0.0000	 82.587008	2	0	  0.0000000	       0.0000000	  0.0000000	       0.0000000	7
0.0000	 82.587008	3	0	  0.0000000	       0.0000000	  0.0000000	       0.0000000	13
0.0000	 82.587008	4	0	  0.0000000	       0.0000000	  0.0000000	       0.0000000	14
0.0000	 82.587008	5	0	  0.0000000	       0.0000000	  0.0000000	       0.0000000	17
0.0000	 82.587008	6	0	  0.0000000	       0.0000000	  0.0000000	       0.0000000	23
0.0000	 83.286976	0	0	  0.0000000	       0.0000000	  0.0000000	       0.0000000	3
0.0000	 83.286976	1	0	  0.0000000	       0.0000000	  0.0000000	       0.0000000	6
0.0000	 83.286976	2	0	  0.0000000	       0.0000000	  0.0000000	       0.0000000	7
0.0000	 83.286976	4	0	  0.0000000	       0.0000000	  0.0000000	       0.0000000	14
0.0000	 83.387008	3	0	  0.0000000	       0.0000000	  0.0000000	       0.0000000	13
0.0000	 83.387008	5	0	  0.0000000	       0.0000000	  0.0000000	       0.0000000	17
0.0000	 84.286976	0	0	  0.0000000	       0.0000000	  0.0000000	       0.0000000	3
0.0000	 84.286976	1	0	  0.0000000	       0.0000000	  0.0000000	       0.0000000	6
0.0000	 84.286976	2	0	  0.0000000	       0.0000000	  0.0000000	       0.0000000	7
0.0000	 84.387008	3	0	  0.0000000	       0.0000000	  0.0000000	       0.0000000	13
0.0000	 84.387008	4	0	  0.0000000	       0.0000000	  0.0000000	       0.0000000	14
0.0000	 84.387008	5	0	  0.0000000	       0.0000000	  0.0000000	       0.0000000	17
0.0000	 85.286976	0	0	  0.0000000	       0.0000000	  0.0000000	       0.0000000	3
0.0000	 85.286976	1	8	-1545.6810303	  101529.8075641	-537.4801025	    1000.2640276	6
0.0000	 85.286976	2	8	115.6495132	     358.1827615	  0.7576787	      15.1641219	7
0.0000	 85.387008	3	8	 39.3187981	      76.3158463	  1.0346763	       6.7724744	13
0.0000	 85.387008	4	8	 -0.7531713	      66.5582892	  1.3883042	       5.9165740	14
0.0000	 85.387008	5	8	-131.7564545	     138.6082680	  0.0554419	       4.5531016	17
0.0000	 86.286976	0	8	-21.7165432	      53.3188261	 -0.2173172	       1.1654368	3
0.0000	 86.286976	1	8	 -1.0986526	      12.5413939	 -0.3357567	       0.4176953	6
0.0000	 86.286976	2	8	 -0.2998077	      10.7232386	 -0.0659471	       0.2728620	7
0.0000	 86.387008	3	8	  0.0019745	       9.0895407	 -0.1752629	       0.1957641	13
0.0000	 86.387008	4	8	  0.3522306	      10.4223991	  0.1855396	       0.2123617	14
0.0000	 86.387008	5	8	  0.1669948	      10.7427819	  0.2091852	       0.2117857	17
0.0000	 87.286976	0	8	 -0.2455020	      10.0860124	 -0.1957122	       0.3138269	3
0.0000	 87.286976	1	8	 -0.0956990	       9.5683887	  0.2074697	       0.2032107	6
0.0000	 87.286976	2	8	 -0.0121097	       9.4802173	  0.0986994	       0.1856917	7
