2,2,100,1,GDOP, 900720000.0
Time_ms,Pos_X,Pos_Y,Pos_Z,Vel_X,Vel_Y,Vel_Z,Acc_X,Acc_Y,Acc_Z,Jerk_X,Jerk_Y,Jerk_Z,Lat,Long,Height,Heading,Elevation,Bank,Ang-vel_X,Ang-vel_Y,Ang-vel_Z,Ang-acc_X,Ang-acc_Y,Ang-acc_Z,Ant1_Pos_X,Ant1_Pos_Y,Ant1_Pos_Z,Ant1_Vel_X,Ant1_Vel_Y,Ant1_Vel_Z,Ant1_Acc_X,Ant1_Acc_Y,Ant1_Acc_Z,Ant1_Lat,Ant1_Long,Ant1_Height,Ant1_DOP
0,1111095.4115,0.0000,6259149.0379,0.0000,515.0000,0.0000,-0.239,0.000,0.000,0.000,0.000,0.000,1.39626340160,0.00000000000,-400.0000,1.570796327,0.000000000,0.000000000,0.00000000000,-0.00008048707,-0.00045646484,0.00000000000,0.00000000000,0.00000000000,1111095.4115,0.0000,6259149.0379,0.0000,515.0000,0.0000,-0.239,0.000,0.000,1.39626340160,0.00000000000,-400.0000,2.608
100,1111095.4103,51.5000,6259149.0379,-0.0239,515.0000,0.0000,-0.239,0.000,0.000,0.000,0.000,0.000,1.39626340160,0.00004635065,-400.0000,1.570796327,0.000000000,0.000000000,0.00000000000,-0.00008048707,-0.00045646484,0.00000000000,0.00000000000,0.00000000000,1111095.4103,51.5000,6259149.0379,-0.0239,515.0000,0.0000,-0.239,0.000,0.000,1.39626340160,0.00004635065,-400.0000,2.608
200,1111095.4068,103.0000,6259149.0379,-0.0477,515.0000,0.0000,-0.239,0.000,0.000,0.000,0.000,0.000,1.39626340160,0.00009270131,-400.0000,1.570796327,0.000000000,0.000000000,0.00000000000,-0.00008048707,-0.00045646484,0.00000000000,0.00000000000,0.00000000000,1111095.4068,103.0000,6259149.0379,-0.0477,515.0000,0.0000,-0.239,0.000,0.000,1.39626340160,0.00009270131,-400.0000,2.608
300,1111095.4008,154.5000,6259149.0379,-0.0716,515.0000,0.0000,-0.239,0.000,0.000,0.000,0.000,0.000,1.39626340160,0.00013905196,-400.0000,1.570796327,0.000000000,0.000000000,0.00000000000,-0.00008048707,-0.00045646484,0.00000000000,0.00000000000,0.00000000000,1111095.4008,154.5000,6259149.0379,-0.0716,515.0000,0.0000,-0.239,0.000,0.000,1.39626340160,0.00013905196,-400.0000,2.608
400,1111095.3924,206.0000,6259149.0379,-0.0955,515.0000,0.0000,-0.239,0.000,0.000,0.000,0.000,0.000,1.39626340160,0.00018540262,-400.0000,1.570796327,0.000000000,0.000000000,0.00000000000,-0.00008048707,-0.00045646484,0.00000000000,0.00000000000,0.00000000000,1111095.3924,206.0000,6259149.0379,-0.0955,515.0000,0.0000,-0.239,0.000,0.000,1.39626340160,0.00018540262,-400.0000,2.608
500,1111095.3817,257.5000,6259149.0379,-0.1194,515.0000,0.0000,-0.239,0.000,0.000,0.000,0.000,0.000,1.39626340160,0.00023175327,-400.0000,1.570796327,0.000000000,0.000000000,0.00000000000,-0.00008048707,-0.00045646484,0.00000000000,0.00000000000,0.00000000000,1111095.3817,257.5000,6259149.0379,-0.1194,515.0000,0.0000,-0.239,0.000,0.000,1.39626340160,0.00023175327,-400.0000,2.608
600,1111095.3686,309.0000,6259149.0379,-0.1432,515.0000,0.0000,-0.239,0.000,0.000,0.000,0.000,0.000,1.39626340160,0.00027810393,-400.0000,1.570796327,0.000000000,0.000000000,0.00000000000,-0.00008048707,-0.00045646484,0.00000000000,0.00000000000,0.00000000000,1111095.3686,309.0000,6259149.0379,-0.1432,515.0000,0.0000,-0.239,0.000,0.000,1.39626340160,0.00027810393,-400.0000,2.608
700,1111095.3531,360.5000,6259149.0379,-0.1671,515.0000,0.0000,-0.239,0.000,0.000,0.000,0.000,0.000,1.39626340160,0.00032445458,-400.0000,1.570796327,0.000000000,0.000000000,0.00000000000,-0.00008048707,-0.00045646484,0.00000000000,0.00000000000,0.00000000000,1111095.3531,360.5000,6259149.0379,-0.1671,515.0000,0.0000,-0.239,0.000,0.000,1.39626340160,0.00032445458,-400.0000,2.608
800,1111095.3352,412.0000,6259149.0379,-0.1910,515.0000,0.0000,-0.239,0.000,0.000,0.000,0.000,0.000,1.39626340160,0.00037080524,-400.0000,1.570796327,0.000000000,0.000000000,0.00000000000,-0.00008048707,-0.00045646484,0.00000000000,0.00000000000,0.00000000000,1111095.3352,412.0000,6259149.0379,-0.1910,515.0000,0.0000,-0.239,0.000,0.000,1.39626340160,0.00037080524,-400.0000,2.608
900,1111095.3149,463.5000,6259149.0379,-0.2148,515.0000,0.0000,-0.239,0.000,0.000,0.000,0.000,0.000,1.39626340160,0.00041715589,-400.0000,1.570796327,0.000000000,0.000000000,0.00000000000,-0.00008048707,-0.00045646484,0.00000000000,0.00000000000,0.00000000000,1111095.3149,463.5000,6259149.0379,-0.2148,515.0000,0.0000,-0.239,0.000,0.000,1.39626340160,0.00041715589,-400.0000,2.608
